,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2a0000365.rd,120,416,368,S1 obj,4
2,co2a0000365.rd,120,416,368,S2 nomatch,5
3,co2a0000365.rd,120,416,368,S1 obj,6
4,co2a0000365.rd,120,416,368,S1 obj,8
5,co2a0000365.rd,120,416,368,S2 match,9
6,co2a0000365.rd,120,416,368,S1 obj,10
7,co2a0000365.rd,120,416,368,S2 match,11
8,co2a0000365.rd,120,416,368,S1 obj,12
9,co2a0000365.rd,120,416,368,S2 nomatch,15
10,co2a0000365.rd,120,416,368,S1 obj,16
11,co2a0000365.rd,120,416,368,S1 obj,18
12,co2a0000365.rd,120,416,368,S1 obj,20
13,co2a0000365.rd,120,416,368,S1 obj,22
14,co2a0000365.rd,120,416,368,S2 match,23
15,co2a0000365.rd,120,416,368,S1 obj,26
16,co2a0000365.rd,120,416,368,S2 nomatch,29
17,co2a0000365.rd,120,416,368,S2 nomatch,31
18,co2a0000365.rd,120,416,368,S2 nomatch,33
19,co2a0000365.rd,120,416,368,S2 nomatch,35
20,co2a0000365.rd,120,416,368,S2 match,37
21,co2a0000365.rd,120,416,368,S2 nomatch,39
22,co2a0000365.rd,120,416,368,S2 match,41
23,co2a0000365.rd,120,416,368,S2 nomatch,43
24,co2a0000365.rd,120,416,368,S2 nomatch,45
25,co2a0000365.rd,120,416,368,S2 match,47
26,co2a0000365.rd,120,416,368,S2 nomatch,49
27,co2a0000365.rd,120,416,368,S2 match,51
28,co2a0000365.rd,120,416,368,S2 match,55
29,co2a0000365.rd,120,416,368,S2 match,61
30,co2a0000365.rd,120,416,368,S2 match,71
