,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2c0000339.rd,120,416,368,S1 obj,0
2,co2c0000339.rd,120,416,368,S1 obj,4
3,co2c0000339.rd,120,416,368,S2 nomatch,5
4,co2c0000339.rd,120,416,368,S1 obj,6
5,co2c0000339.rd,120,416,368,S2 nomatch,7
6,co2c0000339.rd,120,416,368,S1 obj,8
7,co2c0000339.rd,120,416,368,S1 obj,12
8,co2c0000339.rd,120,416,368,S2 nomatch,19
9,co2c0000339.rd,120,416,368,S1 obj,20
10,co2c0000339.rd,120,416,368,S1 obj,22
11,co2c0000339.rd,120,416,368,S2 match,25
12,co2c0000339.rd,120,416,368,S2 nomatch,29
13,co2c0000339.rd,120,416,368,S1 obj,30
14,co2c0000339.rd,120,416,368,S2 nomatch,33
15,co2c0000339.rd,120,416,368,S1 obj,34
16,co2c0000339.rd,120,416,368,S2 nomatch,35
17,co2c0000339.rd,120,416,368,S1 obj,36
18,co2c0000339.rd,120,416,368,S2 match,37
19,co2c0000339.rd,120,416,368,S2 nomatch,39
20,co2c0000339.rd,120,416,368,S2 match,41
21,co2c0000339.rd,120,416,368,S2 nomatch,43
22,co2c0000339.rd,120,416,368,S2 match,47
23,co2c0000339.rd,120,416,368,S2 nomatch,49
24,co2c0000339.rd,120,416,368,S2 nomatch,53
25,co2c0000339.rd,120,416,368,S2 match,55
26,co2c0000339.rd,120,416,368,S2 match,65
27,co2c0000339.rd,120,416,368,S2 match,71
28,co2c0000339.rd,120,416,368,S2 match,75
29,co2c0000339.rd,120,416,368,S2 match,77
30,co2c0000339.rd,120,416,368,S2 match,79
