,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2c0000347.rd,120,416,368,S1 obj,0
2,co2c0000347.rd,120,416,368,S2 nomatch,1
3,co2c0000347.rd,120,416,368,S1 obj,2
4,co2c0000347.rd,120,416,368,S2 nomatch,5
5,co2c0000347.rd,120,416,368,S2 nomatch,7
6,co2c0000347.rd,120,416,368,S1 obj,8
7,co2c0000347.rd,120,416,368,S1 obj,14
8,co2c0000347.rd,120,416,368,S1 obj,18
9,co2c0000347.rd,120,416,368,S2 nomatch,19
10,co2c0000347.rd,120,416,368,S1 obj,22
11,co2c0000347.rd,120,416,368,S2 match,23
12,co2c0000347.rd,120,416,368,S1 obj,24
13,co2c0000347.rd,120,416,368,S1 obj,26
14,co2c0000347.rd,120,416,368,S2 nomatch,29
15,co2c0000347.rd,120,416,368,S1 obj,30
16,co2c0000347.rd,120,416,368,S2 nomatch,31
17,co2c0000347.rd,120,416,368,S1 obj,32
18,co2c0000347.rd,120,416,368,S2 match,47
19,co2c0000347.rd,120,416,368,S2 nomatch,49
20,co2c0000347.rd,120,416,368,S2 nomatch,53
21,co2c0000347.rd,120,416,368,S2 match,55
22,co2c0000347.rd,120,416,368,S2 nomatch,57
23,co2c0000347.rd,120,416,368,S2 nomatch,59
24,co2c0000347.rd,120,416,368,S2 match,61
25,co2c0000347.rd,120,416,368,S2 match,65
26,co2c0000347.rd,120,416,368,S2 match,71
27,co2c0000347.rd,120,416,368,S2 match,75
28,co2c0000347.rd,120,416,368,S2 match,77
29,co2c0000347.rd,120,416,368,S2 match,79
30,co2c0000347.rd,120,416,368,S2 match,81
