,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2c0000338.rd,120,416,368,S1 obj,0
2,co2c0000338.rd,120,416,368,S2 nomatch,1
3,co2c0000338.rd,120,416,368,S1 obj,2
4,co2c0000338.rd,120,416,368,S2 match,3
5,co2c0000338.rd,120,416,368,S1 obj,4
6,co2c0000338.rd,120,416,368,S2 nomatch,5
7,co2c0000338.rd,120,416,368,S1 obj,6
8,co2c0000338.rd,120,416,368,S2 nomatch,7
9,co2c0000338.rd,120,416,368,S1 obj,8
10,co2c0000338.rd,120,416,368,S2 match,9
11,co2c0000338.rd,120,416,368,S1 obj,10
12,co2c0000338.rd,120,416,368,S2 match,11
13,co2c0000338.rd,120,416,368,S1 obj,12
14,co2c0000338.rd,120,416,368,S2 nomatch,13
15,co2c0000338.rd,120,416,368,S1 obj,14
16,co2c0000338.rd,120,416,368,S2 nomatch,15
17,co2c0000338.rd,120,416,368,S1 obj,16
18,co2c0000338.rd,120,416,368,S2 match,17
19,co2c0000338.rd,120,416,368,S1 obj,18
20,co2c0000338.rd,120,416,368,S2 nomatch,19
21,co2c0000338.rd,120,416,368,S2 nomatch,21
22,co2c0000338.rd,120,416,368,S2 match,23
23,co2c0000338.rd,120,416,368,S2 match,25
24,co2c0000338.rd,120,416,368,S2 match,27
25,co2c0000338.rd,120,416,368,S2 nomatch,29
26,co2c0000338.rd,120,416,368,S2 nomatch,33
27,co2c0000338.rd,120,416,368,S2 nomatch,35
28,co2c0000338.rd,120,416,368,S2 match,37
29,co2c0000338.rd,120,416,368,S2 match,47
30,co2c0000338.rd,120,416,368,S2 match,51
