,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2a0000370.rd,120,416,368,S1 obj,0
2,co2a0000370.rd,120,416,368,S2 nomatch,1
3,co2a0000370.rd,120,416,368,S1 obj,2
4,co2a0000370.rd,120,416,368,S2 nomatch,5
5,co2a0000370.rd,120,416,368,S1 obj,6
6,co2a0000370.rd,120,416,368,S1 obj,8
7,co2a0000370.rd,120,416,368,S2 match,9
8,co2a0000370.rd,120,416,368,S1 obj,10
9,co2a0000370.rd,120,416,368,S2 match,11
10,co2a0000370.rd,120,416,368,S1 obj,12
11,co2a0000370.rd,120,416,368,S2 nomatch,13
12,co2a0000370.rd,120,416,368,S1 obj,14
13,co2a0000370.rd,120,416,368,S2 nomatch,15
14,co2a0000370.rd,120,416,368,S1 obj,16
15,co2a0000370.rd,120,416,368,S1 obj,18
16,co2a0000370.rd,120,416,368,S2 nomatch,19
17,co2a0000370.rd,120,416,368,S1 obj,20
18,co2a0000370.rd,120,416,368,S2 nomatch,21
19,co2a0000370.rd,120,416,368,S2 match,23
20,co2a0000370.rd,120,416,368,S2 match,25
21,co2a0000370.rd,120,416,368,S2 match,27
22,co2a0000370.rd,120,416,368,S2 nomatch,29
23,co2a0000370.rd,120,416,368,S2 nomatch,31
24,co2a0000370.rd,120,416,368,S2 nomatch,33
25,co2a0000370.rd,120,416,368,S2 nomatch,35
26,co2a0000370.rd,120,416,368,S2 match,37
27,co2a0000370.rd,120,416,368,S2 match,41
28,co2a0000370.rd,120,416,368,S2 match,47
29,co2a0000370.rd,120,416,368,S2 match,51
30,co2a0000370.rd,120,416,368,S2 match,55
