,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2a0000371.rd,120,416,368,S1 obj,0
2,co2a0000371.rd,120,416,368,S2 nomatch,1
3,co2a0000371.rd,120,416,368,S1 obj,2
4,co2a0000371.rd,120,416,368,S2 match,3
5,co2a0000371.rd,120,416,368,S1 obj,4
6,co2a0000371.rd,120,416,368,S2 nomatch,5
7,co2a0000371.rd,120,416,368,S1 obj,6
8,co2a0000371.rd,120,416,368,S2 nomatch,7
9,co2a0000371.rd,120,416,368,S1 obj,8
10,co2a0000371.rd,120,416,368,S2 match,9
11,co2a0000371.rd,120,416,368,S1 obj,10
12,co2a0000371.rd,120,416,368,S2 match,11
13,co2a0000371.rd,120,416,368,S1 obj,12
14,co2a0000371.rd,120,416,368,S2 nomatch,13
15,co2a0000371.rd,120,416,368,S1 obj,14
16,co2a0000371.rd,120,416,368,S2 nomatch,15
17,co2a0000371.rd,120,416,368,S1 obj,16
18,co2a0000371.rd,120,416,368,S2 match,17
19,co2a0000371.rd,120,416,368,S1 obj,18
20,co2a0000371.rd,120,416,368,S2 nomatch,19
21,co2a0000371.rd,120,416,368,S2 nomatch,21
22,co2a0000371.rd,120,416,368,S2 match,23
23,co2a0000371.rd,120,416,368,S2 match,25
24,co2a0000371.rd,120,416,368,S2 nomatch,29
25,co2a0000371.rd,120,416,368,S2 nomatch,31
26,co2a0000371.rd,120,416,368,S2 nomatch,33
27,co2a0000371.rd,120,416,368,S2 match,37
28,co2a0000371.rd,120,416,368,S2 match,41
29,co2a0000371.rd,120,416,368,S2 match,47
30,co2a0000371.rd,120,416,368,S2 match,51
