,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2c0000341.rd,120,416,368,S1 obj,0
2,co2c0000341.rd,120,416,368,S2 nomatch,1
3,co2c0000341.rd,120,416,368,S2 match,3
4,co2c0000341.rd,120,416,368,S2 nomatch,5
5,co2c0000341.rd,120,416,368,S1 obj,6
6,co2c0000341.rd,120,416,368,S2 nomatch,7
7,co2c0000341.rd,120,416,368,S1 obj,8
8,co2c0000341.rd,120,416,368,S2 match,9
9,co2c0000341.rd,120,416,368,S1 obj,10
10,co2c0000341.rd,120,416,368,S2 match,11
11,co2c0000341.rd,120,416,368,S1 obj,12
12,co2c0000341.rd,120,416,368,S2 nomatch,13
13,co2c0000341.rd,120,416,368,S1 obj,14
14,co2c0000341.rd,120,416,368,S2 nomatch,15
15,co2c0000341.rd,120,416,368,S1 obj,16
16,co2c0000341.rd,120,416,368,S1 obj,18
17,co2c0000341.rd,120,416,368,S2 nomatch,19
18,co2c0000341.rd,120,416,368,S1 obj,20
19,co2c0000341.rd,120,416,368,S2 nomatch,21
20,co2c0000341.rd,120,416,368,S1 obj,22
21,co2c0000341.rd,120,416,368,S2 match,23
22,co2c0000341.rd,120,416,368,S2 match,27
23,co2c0000341.rd,120,416,368,S2 nomatch,31
24,co2c0000341.rd,120,416,368,S2 nomatch,33
25,co2c0000341.rd,120,416,368,S2 nomatch,35
26,co2c0000341.rd,120,416,368,S2 match,41
27,co2c0000341.rd,120,416,368,S2 match,47
28,co2c0000341.rd,120,416,368,S2 match,51
29,co2c0000341.rd,120,416,368,S2 match,61
30,co2c0000341.rd,120,416,368,S2 match,65
